BST,AMR,ALR,AIR,ASR,ASO,AIO,RX,RY,RZ,RXu,RYu,RZu,SST
0.432,0,0,0,0,0,0,0,0,0,0,0,0,0.432
0.433,0,0,0,0,0,0,0,0,0,0,0,0,0.433
0.434,0,0,0,0,0,0,0,0,0,0,0,0,0.434
0.435,0,0,0,0,0,0,0,0,0,0,0,0,0.435
0.436,0,0,0,0,0,0,0,0,0,0,0,0,0.436
0.437,0,0,0,0,0,0,0,0,0,0,0,0,0.437
0.438,0,0,0,0,0,0,0,0,0,0,0,0,0.438
0.439,0,0,0,0,0,0,0,0,0,0,0,0,0.439
0.44,0,0,0,0,0,0,0,0,0,0,0,0,0.44
0.441,0,0,0,0,0,0,0,0,0,0,0,0,0.441
0.442,0,0,0,0,0,0,0,0,0,0,0,0,0.442
0.443,0,0,0,0,0,0,0,0,0,0,0,0,0.443
0.444,0,0,0,0,0,0,0,0,0,0,0,0,0.444
0.445,0,0,0,0,0,0,0,0,0,0,0,0,0.445
0.446,0,0,0,0,0,0,0,0,0,0,0,0,0.446
0.447,0,0,0,0,0,0,0,0,0,0,0,0,0.447
0.448,0,0,0,0,0,0,0,0,0,0,0,0,0.448
0.449,0,0,0,0,0,0,0,0,0,0,0,0,0.449
0.45,0,0,0,0,0,0,0,0,0,0,0,0,0.45
0.451,0,0,0,0,0,0,0,0,0,0,0,0,0.451
0.452,0,0,0,0,0,0,0,0,0,0,0,0,0.452
0.453,0,0,0,0,0,0,0,0,0,0,0,0,0.453
0.454,0,0,0,0,0,0,0,0,0,0,0,0,0.454
0.455,0,0,0,0,0,0,0,0,0,0,0,0,0.455
0.456,0,0,0,0,0,0,0,0,0,0,0,0,0.456
0.457,0,0,0,0,0,0,0,0,0,0,0,0,0.457
0.458,0,0,0,0,0,0,0,0,0,0,0,0,0.458
0.459,0,0,0,0,0,0,0,0,0,0,0,0,0.459
0.46,0,0,0,0,0,0,0,0,0,0,0,0,0.46
0.461,0,0,0,0,0,0,0,0,0,0,0,0,0.461
0.462,0,0,0,0,0,0,0,0,0,0,0,0,0.462
0.463,0,0,0,0,0,0,0,0,0,0,0,0,0.463
0.464,0,0,0,0,0,0,0,0,0,0,0,0,0.464
0.465,0,0,0,0,0,0,0,0,0,0,0,0,0.465
0.466,0,0,0,0,0,0,0,0,0,0,0,0,0.466
0.467,0,0,0,0,0,0,0,0,0,0,0,0,0.467
0.468,0,0,0,0,0,0,0,0,0,0,0,0,0.468
0.469,0,0,0,0,0,0,0,0,0,0,0,0,0.469
0.47,0,0,0,0,0,0,0,0,0,0,0,0,0.47
0.471,0,0,0,0,0,0,0,0,0,0,0,0,0.471
0.472,0,0,0,0,0,0,0,0,0,0,0,0,0.472
0.473,0,0,0,0,0,0,0,0,0,0,0,0,0.473
0.474,0,0,0,0,0,0,0,0,0,0,0,0,0.474
0.475,0,0,0,0,0,0,0,0,0,0,0,0,0.475
0.476,0,0,0,0,0,0,0,0,0,0,0,0,0.476
0.477,0,0,0,0,0,0,0,0,0,0,0,0,0.477
0.478,0,0,0,0,0,0,0,0,0,0,0,0,0.478
0.479,0,0,0,0,0,0,0,0,0,0,0,0,0.479
0.48,0,0,0,0,0,0,0,0,0,0,0,0,0.48
0.481,0,0,0,0,0,0,0,0,0,0,0,0,0.481
0.482,0,0,0,0,0,0,0,0,0,0,0,0,0.482
0.483,0,0,0,0,0,0,0,0,0,0,0,0,0.483
0.484,0,0,0,0,0,0,0,0,0,0,0,0,0.484
0.485,0,0,0,0,0,0,0,0,0,0,0,0,0.485
0.486,0,0,0,0,0,0,0,0,0,0,0,0,0.486
0.487,0,0,0,0,0,0,0,0,0,0,0,0,0.487
0.488,0,0,0,0,0,0,0,0,0,0,0,0,0.488
0.489,0,0,0,0,0,0,0,0,0,0,0,0,0.489
0.49,0,0,0,0,0,0,0,0,0,0,0,0,0.49
0.491,0,0,0,0,0,0,0,0,0,0,0,0,0.491
0.492,0,0,0,0,0,0,0,0,0,0,0,0,0.492
0.493,0,0,0,0,0,0,0,0,0,0,0,0,0.493
0.494,0,0,0,0,0,0,0,0,0,0,0,0,0.494
0.495,0,0,0,0,0,0,0,0,0,0,0,0,0.495
0.496,0,0,0,0,0,0,0,0,0,0,0,0,0.496
0.497,0,0,0,0,0,0,0,0,0,0,0,0,0.497
0.498,0,0,0,0,0,0,0,0,0,0,0,0,0.498
0.499,0,0,0,0,0,0,0,0,0,0,0,0,0.499
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5
0.501,0,0,0,0,0,0,0,0,0,0,0,0,0.501
0.502,0,0,0,0,0,0,0,0,0,0,0,0,0.502
0.503,0,0,0,0,0,0,0,0,0,0,0,0,0.503
0.504,0,0,0,0,0,0,0,0,0,0,0,0,0.504
0.505,0,0,0,0,0,0,0,0,0,0,0,0,0.505
0.506,0,0,0,0,0,0,0,0,0,0,0,0,0.506
0.507,0,0,0,0,0,0,0,0,0,0,0,0,0.507
0.508,0,0,0,0,0,0,0,0,0,0,0,0,0.508
0.509,0,0,0,0,0,0,0,0,0,0,0,0,0.509
0.51,0,0,0,0,0,0,0,0,0,0,0,0,0.51
0.511,0,0,0,0,0,0,0,0,0,0,0,0,0.511
0.512,0,0,0,0,0,0,0,0,0,0,0,0,0.512
0.513,0,0,0,0,0,0,0,0,0,0,0,0,0.513
0.514,0,0,0,0,0,0,0,0,0,0,0,0,0.514
0.515,0,0,0,0,0,0,0,0,0,0,0,0,0.515
0.516,0,0,0,0,0,0,0,0,0,0,0,0,0.516
0.517,0,0,0,0,0,0,0,0,0,0,0,0,0.517
0.518,0,0,0,0,0,0,0,0,0,0,0,0,0.518
0.519,0,0,0,0,0,0,0,0,0,0,0,0,0.519
0.52,0,0,0,0,0,0,0,0,0,0,0,0,0.52
0.521,0,0,0,0,0,0,0,0,0,0,0,0,0.521
0.522,0,0,0,0,0,0,0,0,0,0,0,0,0.522
0.523,0,0,0,0,0,0,0,0,0,0,0,0,0.523
0.524,0,0,0,0,0,0,0,0,0,0,0,0,0.524
0.525,0,0,0,0,0,0,0,0,0,0,0,0,0.525
0.526,0,0,0,0,0,0,0,0,0,0,0,0,0.526
0.527,0,0,0,0,0,0,0,0,0,0,0,0,0.527
0.528,0,0,0,0,0,0,0,0,0,0,0,0,0.528
0.529,0,0,0,0,0,0,0,0,0,0,0,0,0.529
0.53,0,0,0,0,0,0,0,0,0,0,0,0,0.53
0.531,0,0,0,0,0,0,0,0,0,0,0,0,0.531
0.532,0,0,0,0,0,0,0,0,0,0,0,0,0.532
0.533,0,0,0,0,0,0,0,0,0,0,0,0,0.533
0.534,0,0,0,0,0,0,0,0,0,0,0,0,0.534
0.535,0,0,0,0,0,0,0,0,0,0,0,0,0.535
0.536,0,0,0,0,0,0,0,0,0,0,0,0,0.536
0.537,0.00110356,0,0,0,0,0,0,0,0,0,0,0,0.537
0.538,0.0461794,0,0,0,0,0,0,0,0,0,-0.541323,0,0.538
0.539,0.101761,0,0,0,0,0,0,-0.000541323,0,0,-22.9367,0,0.539
0.54,0.155881,0,0,0,0,0,0,-0.023478,0,0,-61.969,0,0.54
0.541,0.204909,0,0,0,0,0,0,-0.085447,0,0,-108.849,0,0.541
0.542,0.248555,0,0,0,0,0,0,-0.194296,0,0,-157.03,0,0.542
0.543,0.287656,0,0.00363559,0,0,0,0,-0.351326,0,0,-202.846,0,0.543
0.544,0.321543,0,0.00933958,0,0,0,0,-0.554172,0,-1.36928,-244.636,0.228213,0.544
0.545,0.349152,0,0.0151446,0,0,0,-0.00136707,-0.798808,0.000228224,-4.23698,-281.254,0.706163,0.545
0.546,0.369409,0,0.0204112,0,0,0,-0.00559429,-1.08006,0.000927743,-7.91631,-311.664,1.31938,0.546
0.547,0.381336,0,0.0250199,0,0,0,-0.0134863,-1.39173,0.00221692,-11.7899,-334.867,1.96501,0.547
0.548,0.384106,0,0.0290344,0,0,0,-0.0252303,-1.72659,0.00410367,-15.4793,-349.929,2.58013,0.548
0.549,0.38087,0,0.0324422,0,0,0,-0.0406365,-2.07652,0.00653081,-18.8081,-356.042,3.13558,0.549
0.55,0.37479,0,0.0351649,0,0,0,-0.05934,-2.43257,0.00941577,-21.6817,-354.407,3.61592,0.55
0.551,0.36744,0,0.0371069,0,0,0,-0.0808837,-2.78698,0.0126676,-24.0252,-347.289,4.00902,0.551
0.552,0.359626,0,0.0381595,0,0,0,-0.104738,-3.13427,0.0161905,-25.7688,-336.724,4.3035,0.552
0.553,0.351755,0,0.0382267,0,0,0,-0.130304,-3.471,0.019884,-26.8407,-324.229,4.48764,0.553
0.554,0.344034,0,0.0372358,0,0,0,-0.156918,-3.79524,0.0236411,-27.1738,-310.838,4.55033,0.554
0.555,0.336562,0,0.0351512,0,0,0,-0.183846,-4.10609,0.0273483,-26.7124,-297.219,4.48236,0.555
0.556,0.329388,0,0.0319565,0,0,0,-0.210305,-4.40332,0.030886,-25.4216,-283.782,4.27785,0.556
0.557,0.322528,0,0.0276655,0,0,0,-0.235478,-4.68712,0.0341318,-23.2851,-270.77,3.93396,0.557
0.558,0.315984,0,0.0223179,0,0,0,-0.258531,-4.9579,0.0369623,-20.3076,-258.32,3.45133,0.558
0.559,0.309752,0,0.0159957,0,0,0,-0.278641,-5.21624,0.0392566,-16.5149,-246.499,2.83405,0.559
0.56,0.303821,0,0.0088387,0.00324045,0,0,-0.295006,-5.46275,0.0408987,-11.9593,-235.333,2.09062,0.56
0.561,0.298181,0,0.00441935,0.00889525,0,0,-0.306882,-5.69809,0.0417816,-5.51148,-224.661,1.03254,0.561
0.562,0.292819,0,0.00220968,0.0156471,0,0,-0.31241,-5.92275,0.04161,1.76483,-214.242,-0.16316,0.562
0.563,0.287723,0,0.00110484,0.022814,0,0,-0.310783,-6.13699,0.0402715,8.99638,-204.021,-1.35117,0.563
0.564,0.28288,0,0.000552419,0.0300279,0,0,-0.302051,-6.341,0.0377995,15.8752,-194.045,-2.48047,0.564
0.565,0.278278,0,0.00027621,0.0370852,0,0,-0.286565,-6.53503,0.0342746,22.3094,-184.374,-3.5361,0.565
0.566,0.273905,0,0.000138105,0.043746,0,0,-0.264767,-6.71938,0.0297872,28.2818,-175.056,-4.51555,0.566
0.567,0.269751,0,6.90524e-05,0.0497307,0,0,-0.237112,-6.89441,0.0244259,33.7501,-166.128,-5.41205,0.567
0.568,0.265804,0,3.45262e-05,0.0547497,0,0,-0.2041,-7.06052,0.018282,38.6176,-157.62,-6.20977,0.568
0.569,0.262055,0,1.72631e-05,0.0585407,0,0,-0.166321,-7.21812,0.0114591,42.7433,-149.558,-6.88541,0.569
0.57,0.258492,0,8.63155e-06,0.0608659,0,0,-0.124504,-7.36765,0.00408107,45.9673,-141.962,-7.41245,0.57
0.571,0.255108,0,4.31577e-06,0.0615134,0,0,-0.0795354,-7.5096,-0.00370412,48.1271,-134.85,-7.76391,0.571
0.572,0.251893,0,2.15789e-06,0.0610362,0,0,-0.0324564,-7.64444,-0.011724,49.0686,-128.237,-7.91414,0.572
0.573,0.248838,0,1.07894e-06,0.0600435,0,0,0.0155402,-7.77267,-0.0197824,48.9291,-122.093,-7.88607,0.573
0.574,0.245937,0,5.39472e-07,0.0588308,0,0,0.0633974,-7.89477,-0.0277082,48.0213,-116.361,-7.73178,0.574
0.575,0.24318,0,2.69736e-07,0.0575439,0,0,0.110364,-8.01114,-0.035384,46.6304,-110.987,-7.49878,0.575
0.576,0.240561,0,1.34868e-07,0.0562539,0,0,0.15597,-8.12214,-0.0427407,44.9682,-105.927,-7.22227,0.576
0.577,0.238073,0,6.7434e-08,0.0549947,0,0,0.199948,-8.22808,-0.0497449,43.177,-101.146,-6.92587,0.577
0.578,0.23571,0,3.3717e-08,0.0537816,0,0,0.242175,-8.32925,-0.0563861,41.3466,-96.6178,-6.6244,0.578
0.579,0.233464,0,1.68585e-08,0.0526207,0,0,0.282611,-8.4259,-0.0626683,39.531,-92.3226,-6.3267,0.579
0.58,0.231331,0,8.42925e-09,0.0515136,0,0,0.321273,-8.51825,-0.0686036,37.7611,-88.2436,-6.03776,0.58
0.581,0.229305,0,4.21462e-09,0.0504598,0,0,0.358204,-8.60653,-0.0742083,36.0533,-84.3669,-5.76016,0.581
0.582,0.22738,0,2.10731e-09,0.0494576,0,0,0.393465,-8.69093,-0.0795005,34.4155,-80.6805,-5.49506,0.582
0.583,0.225551,0,1.05366e-09,0.048505,0,0,0.427125,-8.77164,-0.0844988,32.8504,-77.1736,-5.2428,0.583
0.584,0.223813,0,5.26828e-10,0.0475998,0,0,0.459255,-8.84886,-0.0892214,31.3581,-73.8364,-5.00323,0.584
0.585,0.222163,0,2.63414e-10,0.0467397,0,0,0.489927,-8.92273,-0.0936857,29.9368,-70.6599,-4.77595,0.585
0.586,0.220595,0,1.31707e-10,0.0459225,0,0,0.519209,-8.99343,-0.0979084,28.584,-67.6358,-4.56045,0.586
0.587,0.219105,0,6.58535e-11,0.0451462,0,0,0.547168,-9.0611,-0.101905,27.2968,-64.7561,-4.35616,0.587
0.588,0.21769,0,3.29267e-11,0.0444087,0,0,0.573869,-9.1259,-0.10569,26.0723,-62.0136,-4.16248,0.588
0.589,0.216346,0,1.64634e-11,0.043708,0,0,0.599372,-9.18795,-0.109276,24.9073,-59.401,-3.97884,0.589
0.59,0.215068,0,8.23169e-12,0.0430423,0,0,0.623736,-9.24739,-0.112677,23.799,-56.912,-3.80469,0.59
0.591,0.213855,0,4.11584e-12,0.04241,0,0,0.647017,-9.30434,-0.115904,22.7444,-54.5402,-3.63949,0.591
0.592,0.212702,0,2.05792e-12,0.0418092,0,0,0.669266,-9.35892,-0.118968,21.7409,-52.2797,-3.48274,0.592
0.593,0.211607,0,1.02896e-12,0.0412385,0,0,0.690533,-9.41123,-0.121878,20.7858,-50.1249,-3.33398,0.593
0.594,0.210567,0,5.1448e-13,0.0406964,0,0,0.710867,-9.46139,-0.124645,19.8766,-48.0706,-3.19274,0.594
0.595,0.209579,0,2.5724e-13,0.0401813,0,0,0.730311,-9.5095,-0.127277,19.0111,-46.1117,-3.05862,0.595
0.596,0.20864,0,1.2862e-13,0.039692,0,0,0.748908,-9.55565,-0.129782,18.1871,-44.2435,-2.93122,0.596
0.597,0.207748,0,6.431e-14,0.0392271,0,0,0.766699,-9.59993,-0.132168,17.4023,-42.4614,-2.81017,0.597
0.598,0.206901,0,3.2155e-14,0.0387855,0,0,0.783722,-9.64242,-0.134441,16.6549,-40.7613,-2.69511,0.598
0.599,0.206096,0,1.60775e-14,0.038366,0,0,0.800014,-9.68322,-0.136609,15.9429,-39.1389,-2.58573,0.599
0.6,0.205331,0,8.03876e-15,0.0379675,0,0,0.815609,-9.72239,-0.138678,15.2646,-37.5906,-2.48171,0.6
0.601,0.204605,0,4.01938e-15,0.0375889,0,0,0.83054,-9.76001,-0.140653,14.6183,-36.1126,-2.38276,0.601
0.602,0.203915,0,2.00969e-15,0.0372292,0,0,0.844838,-9.79615,-0.142539,14.0023,-34.7016,-2.28861,0.602
0.603,0.203259,0,1.00484e-15,0.0368875,0,0,0.858534,-9.83088,-0.144342,13.4152,-33.3542,-2.19901,0.603
0.604,0.202636,0,5.02422e-16,0.0365629,0,0,0.871655,-9.86427,-0.146066,12.8555,-32.0673,-2.1137,0.604
0.605,0.202045,0,2.51211e-16,0.0362545,0,0,0.884228,-9.89636,-0.147716,12.3218,-30.8379,-2.03246,0.605
0.606,0.201482,0,1.25606e-16,0.0359615,0,0,0.896278,-9.92723,-0.149296,11.813,-29.6634,-1.95507,0.606
0.607,0.200948,0,6.28028e-17,0.0356832,0,0,0.90783,-9.95692,-0.15081,11.3276,-28.541,-1.88134,0.607
0.608,0.200441,0,3.14014e-17,0.0354188,0,0,0.918907,-9.98549,-0.15226,10.8647,-27.4682,-1.81107,0.608
0.609,0.192467,0,0.00409827,0.0312628,0,0,0.92953,-10.013,-0.153652,10.423,-26.4426,-1.74408,0.609
0.61,0.188638,0,0.00614741,0.0292671,0,0,0.939721,-10.0394,-0.154987,7.06828,-22.089,-1.19132,0.61
0.611,0.186723,0,0.00717198,0.0282692,0,0,0.946642,-10.0616,-0.155829,3.72854,-17.849,-0.640795,0.611
0.612,0.185766,0,0.00768426,0.0277702,0,0,0.95031,-10.0794,-0.15618,1.16817,-14.5677,-0.219638,0.612
0.613,0.185287,0,0.00794041,0.0275208,0,0,0.951482,-10.094,-0.156158,-0.58204,-12.2576,0.0671602,0.613
0.614,0.185048,0,0.00806848,0.027396,0,0,0.950948,-10.1062,-0.155883,-1.69822,-10.7018,0.248961,0.614
0.615,0.184928,0,0.00813251,0.0273337,0,0,0.949326,-10.1169,-0.155449,-2.37285,-9.67018,0.357765,0.615
0.616,0.184869,0,0.00816453,0.0273025,0,0,0.947045,-10.1266,-0.154923,-2.75909,-8.98131,0.418992,0.616
0.617,0.184839,0,0.00818054,0.0272869,0,0,0.944387,-10.1356,-0.154347,-2.96455,-8.50848,0.450472,0.617
0.618,0.184824,0,0.00818854,0.0272791,0,0,0.941529,-10.1441,-0.153747,-3.05993,-8.16864,0.463905,0.618
0.619,0.184816,0,0.00819255,0.0272752,0,0,0.938576,-10.1522,-0.153139,-3.08982,-7.90953,0.466654,0.619
0.62,0.184812,0,0.00819455,0.0272733,0,0,0.935593,-10.1601,-0.152534,-3.08153,-7.69917,0.463222,0.62
0.621,0.184811,0,0.00819555,0.0272723,0,0,0.932617,-10.1678,-0.151935,-3.05144,-7.51836,0.456306,0.621
0.622,0.18481,0,0.00819605,0.0272718,0,0,0.929669,-10.1753,-0.151348,-3.00924,-7.35575,0.447497,0.622
0.623,0.184809,0,0.0081963,0.0272716,0,0,0.926761,-10.1827,-0.150772,-2.96057,-7.20469,0.437719,0.623
0.624,0.184809,0,0.00819642,0.0272714,0,0,0.9239,-10.1899,-0.150209,-2.90868,-7.06132,0.427503,0.624
0.625,0.184809,0,0.00819649,0.0272714,0,0,0.921089,-10.1969,-0.149659,-2.85544,-6.9234,0.417151,0.625
0.626,0.184809,0,0.00819652,0.0272713,0,0,0.918329,-10.2038,-0.149122,-2.8019,-6.78963,0.406833,0.626
0.627,0.184809,0,0.00819653,0.0272713,0,0,0.915619,-10.2106,-0.148598,-2.74865,-6.65928,0.396641,0.627
0.628,0.184809,0,0.00819654,0.0272713,0,0,0.912961,-10.2173,-0.148087,-2.69601,-6.53188,0.386627,0.628
0.629,0.184809,0,0.00819654,0.0272713,0,0,0.910354,-10.2238,-0.147588,-2.64415,-6.40719,0.376815,0.629
0.63,0.184809,0,0.00819655,0.0272713,0,0,0.907796,-10.2302,-0.147102,-2.59317,-6.28501,0.367217,0.63
0.631,0.184809,0,0.00819655,0.0272713,0,0,0.905287,-10.2365,-0.146628,-2.5431,-6.16524,0.357839,0.631
0.632,0.184809,0,0.00819655,0.0272713,0,0,0.902826,-10.2426,-0.146165,-2.49396,-6.04779,0.348679,0.632
0.633,0.184809,0,0.00819655,0.0272713,0,0,0.900412,-10.2487,-0.145714,-2.44574,-5.9326,0.339736,0.633
0.634,0.184809,0,0.00819655,0.0272713,0,0,0.898045,-10.2546,-0.145274,-2.39845,-5.81961,0.331006,0.634
0.635,0.184809,0,0.00819655,0.0272713,0,0,0.895723,-10.2604,-0.144845,-2.35206,-5.70877,0.322485,0.635
0.636,0.184809,0,0.00819655,0.0272713,0,0,0.893445,-10.2661,-0.144427,-2.30657,-5.60005,0.314169,0.636
0.637,0.184809,0,0.00819655,0.0272713,0,0,0.891211,-10.2717,-0.144019,-2.26195,-5.49339,0.306053,0.637
0.638,0.184809,0,0.00819655,0.0272713,0,0,0.88902,-10.2772,-0.143621,-2.2182,-5.38876,0.298132,0.638
0.639,0.184809,0,0.00819655,0.0272713,0,0,0.886871,-10.2826,-0.143233,-2.17529,-5.28613,0.290403,0.639
0.64,0.184809,0,0.00819655,0.0272713,0,0,0.884764,-10.2879,-0.142855,-2.13322,-5.18544,0.28286,0.64
0.641,0.184809,0,0.00819655,0.0272713,0,0,0.882696,-10.293,-0.142486,-2.09195,-5.08667,0.2755,0.641
0.642,0.184809,0,0.00819655,0.0272713,0,0,0.880669,-10.2981,-0.142126,-2.05149,-4.98978,0.268317,0.642
0.643,0.184809,0,0.00819655,0.0272713,0,0,0.87868,-10.3031,-0.141776,-2.01181,-4.89473,0.261309,0.643
0.644,0.184809,0,0.00819655,0.0272713,0,0,0.876729,-10.308,-0.141434,-1.97289,-4.80149,0.25447,0.644
0.645,0.184809,0,0.00819655,0.0272713,0,0,0.874816,-10.3128,-0.1411,-1.93473,-4.71002,0.247797,0.645
0.646,0.184809,0,0.00819655,0.0272713,0,0,0.872939,-10.3175,-0.140776,-1.89731,-4.62029,0.241286,0.646
0.647,0.184809,0,0.00819655,0.0272713,0,0,0.871099,-10.3221,-0.140459,-1.86061,-4.53227,0.234933,0.647
0.648,0.184809,0,0.00819655,0.0272713,0,0,0.869293,-10.3267,-0.14015,-1.82462,-4.44592,0.228735,0.648
0.649,0.184809,0,0.00819655,0.0272713,0,0,0.867523,-10.3311,-0.139849,-1.78932,-4.36122,0.222687,0.649
0.65,0.184809,0,0.00819655,0.0272713,0,0,0.865786,-10.3355,-0.139555,-1.75471,-4.27812,0.216787,0.65
0.651,0.184809,0,0.00819655,0.0272713,0,0,0.864083,-10.3397,-0.139269,-1.72077,-4.19661,0.211031,0.651
0.652,0.184809,0,0.00819655,0.0272713,0,0,0.862412,-10.3439,-0.138991,-1.68749,-4.11665,0.205414,0.652
0.653,0.184809,0,0.00819655,0.0272713,0,0,0.860773,-10.348,-0.138719,-1.65485,-4.03821,0.199935,0.653
0.654,0.184809,0,0.00819655,0.0272713,0,0,0.859166,-10.3521,-0.138454,-1.62284,-3.96126,0.19459,0.654
0.655,0.184809,0,0.00819655,0.0272713,0,0,0.85759,-10.356,-0.138196,-1.59145,-3.88578,0.189376,0.655
0.656,0.184809,0,0.00819655,0.0272713,0,0,0.856043,-10.3599,-0.137944,-1.56067,-3.81173,0.18429,0.656
0.657,0.184809,0,0.00819655,0.0272713,0,0,0.854527,-10.3637,-0.137699,-1.53048,-3.7391,0.179328,0.657
0.658,0.184809,0,0.00819655,0.0272713,0,0,0.853039,-10.3675,-0.13746,-1.50088,-3.66784,0.174488,0.658
0.659,0.184809,0,0.00819655,0.0272713,0,0,0.85158,-10.3711,-0.137227,-1.47185,-3.59795,0.169767,0.659
0.66,0.184809,0,0.00819655,0.0272713,0,0,0.850149,-10.3747,-0.137,-1.44338,-3.52938,0.165162,0.66
0.661,0.184809,0,0.00819655,0.0272713,0,0,0.848746,-10.3782,-0.136779,-1.41546,-3.46212,0.16067,0.661
0.662,0.184809,0,0.00819655,0.0272713,0,0,0.847369,-10.3817,-0.136564,-1.38809,-3.39613,0.156289,0.662
0.663,0.184809,0,0.00819655,0.0272713,0,0,0.846019,-10.3851,-0.136354,-1.36124,-3.33141,0.152016,0.663
0.664,0.184809,0,0.00819655,0.0272713,0,0,0.844695,-10.3884,-0.136149,-1.33491,-3.26792,0.147849,0.664
0.665,0.184809,0,0.00819655,0.0272713,0,0,0.843396,-10.3917,-0.13595,-1.30909,-3.20563,0.143785,0.665
0.666,0.184809,0,0.00819655,0.0272713,0,0,0.842121,-10.3949,-0.135756,-1.28378,-3.14453,0.139821,0.666
0.667,0.184809,0,0.00819655,0.0272713,0,0,0.840872,-10.398,-0.135567,-1.25895,-3.0846,0.135956,0.667
0.668,0.184809,0,0.00819655,0.0272713,0,0,0.839646,-10.4011,-0.135382,-1.2346,-3.0258,0.132187,0.668
0.669,0.184809,0,0.00819655,0.0272713,0,0,0.838444,-10.4041,-0.135203,-1.21072,-2.96813,0.128511,0.669
0.67,0.184809,0,0.00819655,0.0272713,0,0,0.837265,-10.4071,-0.135028,-1.18731,-2.91155,0.124927,0.67
0.671,0.184809,0,0.00819655,0.0272713,0,0,0.836108,-10.41,-0.134858,-1.16434,-2.85605,0.121432,0.671
0.672,0.184809,0,0.00819655,0.0272713,0,0,0.834974,-10.4129,-0.134692,-1.14183,-2.80161,0.118025,0.672
0.673,0.184809,0,0.00819655,0.0272713,0,0,0.833861,-10.4157,-0.134531,-1.11974,-2.74821,0.114702,0.673
0.674,0.184809,0,0.00819655,0.0272713,0,0,0.83277,-10.4184,-0.134373,-1.09809,-2.69582,0.111463,0.674
0.675,0.184809,0,0.00819655,0.0272713,0,0,0.8317,-10.4211,-0.13422,-1.07685,-2.64443,0.108305,0.675
0.676,0.184809,0,0.00819655,0.0272713,0,0,0.83065,-10.4237,-0.134071,-1.05603,-2.59402,0.105226,0.676
0.677,0.184809,0,0.00819655,0.0272713,0,0,0.82962,-10.4263,-0.133926,-1.03561,-2.54457,0.102225,0.677
0.678,0.184809,0,0.00819655,0.0272713,0,0,0.82861,-10.4289,-0.133784,-1.01558,-2.49606,0.0992988,0.678
0.679,0.184809,0,0.00819655,0.0272713,0,0,0.827619,-10.4314,-0.133647,-0.995941,-2.44847,0.0964466,0.679
0.68,0.184809,0,0.00819655,0.0272713,0,0,0.826648,-10.4338,-0.133513,-0.976682,-2.40179,0.0936663,0.68
0.681,0.184809,0,0.00819655,0.0272713,0,0,0.825694,-10.4362,-0.133382,-0.957796,-2.356,0.0909564,0.681
0.682,0.184809,0,0.00819655,0.0272713,0,0,0.82476,-10.4386,-0.133255,-0.939275,-2.31109,0.0883151,0.682
0.683,0.184809,0,0.00819655,0.0272713,0,0,0.823843,-10.4409,-0.133132,-0.921112,-2.26702,0.0857407,0.683
0.684,0.184809,0,0.00819655,0.0272713,0,0,0.822944,-10.4432,-0.133011,-0.903301,-2.2238,0.0832318,0.684
0.685,0.184809,0,0.00819655,0.0272713,0,0,0.822061,-10.4454,-0.132894,-0.885835,-2.1814,0.0807866,0.685
0.686,0.184809,0,0.00819655,0.0272713,0,0,0.821196,-10.4476,-0.13278,-0.868706,-2.13981,0.0784038,0.686
0.687,0.184809,0,0.00819655,0.0272713,0,0,0.820348,-10.4497,-0.132669,-0.851909,-2.09901,0.0760818,0.687
0.688,0.184809,0,0.00819655,0.0272713,0,0,0.819515,-10.4518,-0.132561,-0.835437,-2.05899,0.0738192,0.688
0.689,0.184809,0,0.00819655,0.0272713,0,0,0.818699,-10.4539,-0.132456,-0.819283,-2.01973,0.0716145,0.689
0.69,0.184809,0,0.00819655,0.0272713,0,0,0.817898,-10.4559,-0.132354,-0.803443,-1.98122,0.0694664,0.69
0.691,0.184809,0,0.00819655,0.0272713,0,0,0.817113,-10.4579,-0.132255,-0.787908,-1.94345,0.0673735,0.691
0.692,0.184809,0,0.00819655,0.0272713,0,0,0.816342,-10.4598,-0.132158,-0.772675,-1.90639,0.0653345,0.692
0.693,0.184809,0,0.00819655,0.0272713,0,0,0.815587,-10.4617,-0.132064,-0.757736,-1.87004,0.0633481,0.693
0.694,0.184809,0,0.00819655,0.0272713,0,0,0.814846,-10.4636,-0.131973,-0.743086,-1.83438,0.061413,0.694
0.695,0.184809,0,0.00819655,0.0272713,0,0,0.814119,-10.4654,-0.131884,-0.728719,-1.7994,0.0595281,0.695
0.696,0.184809,0,0.00819655,0.0272713,0,0,0.813406,-10.4672,-0.131797,-0.714631,-1.76509,0.057692,0.696
0.697,0.184809,0,0.00819655,0.0272713,0,0,0.812706,-10.469,-0.131713,-0.700815,-1.73143,0.0559037,0.697
0.698,0.184809,0,0.00819655,0.0272713,0,0,0.81202,-10.4707,-0.131631,-0.687266,-1.69842,0.054162,0.698
0.699,0.184809,0,0.00819655,0.0272713,0,0,0.811348,-10.4724,-0.131552,-0.67398,-1.66603,0.0524657,0.699
0.7,0.184809,0,0.00819655,0.0272713,0,0,0.810688,-10.4741,-0.131474,-0.660951,-1.63426,0.0508138,0.7
0.701,0.184809,0,0.00819655,0.0272713,0,0,0.81004,-10.4757,-0.131399,-0.648173,-1.6031,0.0492052,0.701
